,date,state,fips,cases,deaths,Inpatient Beds Occupied Estimated,Count LL_inpatient beds occupied,Count UL_inpatient beds occupied,Percentage of Inpatient Beds Occupied Estimated,Percentage LL_inpatient beds occupied,Percentage UL_inpatient beds occupied,Total Inpatient Beds_x,Total LL_inpatient beds occupied,Total UL_inpatient beds occupied,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL_occupied by COVID-19 patients,Count UL_occupied by COVID-19 patients,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL_occupied by COVID-19 patients,Percentage UL_occupied by COVID-19 patients,Total Inpatient Beds_y,Total LL_occupied by COVID-19 patients,Total UL_occupied by COVID-19 patients,Staffed Adult ICU Beds Occupied Estimated,Count LL_ICU Beds Occupied,Count UL_ICU Beds Occupied,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL_ICU Beds Occupied,Percentage UL_ICU Beds Occupied,Total Staffed Adult ICU Beds,Total LL_ICU Beds Occupied,Total UL_ICU Beds Occupied
200,2020-12-05,WA,53,184079,3065,8371,8352,8390,66.22,66.22,66.22,12641,12641,12641,1064,1064,1064,8.42,8.42,8.42,12641,12641,12641,893,893,893,68.59,68.59,68.59,1302,1302,1302
201,2020-12-05,WV,54,53572,829,3785,3785,3785,75.29,75.29,75.29,5027,5027,5027,649,649,649,12.91,12.91,12.91,5027,5027,5027,506,506,506,82.95,82.95,82.95,610,610,610
202,2020-12-05,WI,55,437918,3938,8148,8144,8153,65.81,65.81,65.81,12381,12381,12381,1796,1796,1796,14.83,14.83,14.83,12381,12381,12381,1057,1057,1057,65.94,65.94,65.94,1603,1603,1603
203,2020-12-05,WY,56,35941,257,636,568,704,46.11,28.06,64.16,1379,1270,1488,219,201,237,15.99,6.93,25.05,1379,1270,1488,65,60,69,54.49,38.02,70.97,119,108,129
204,2020-12-06,AL,1,269877,3889,10369,10307,10431,73.33,71.97,74.69,14140,14067,14213,2022,2019,2025,14.3,13.89,14.71,14140,14067,14213,1282,1274,1291,87.54,86.18,88.9,1465,1460,1470
205,2020-12-06,AK,2,36847,136,874,874,874,60.32,60.32,60.32,1449,1449,1449,163,163,163,11.25,11.25,11.25,1449,1449,1449,82,82,82,64.57,64.57,64.57,127,127,127
206,2020-12-06,AZ,4,364276,6950,10117,10104,10130,74.46,74.17,74.76,13587,13571,13603,3076,3073,3078,22.67,22.53,22.81,13587,13571,13603,1440,1438,1441,70.88,70.72,71.03,2031,2030,2032
207,2020-12-06,AR,5,170924,2660,5112,5107,5116,69.18,69.18,69.18,7389,7389,7389,1060,1060,1060,14.35,14.35,14.35,7389,7389,7389,787,787,787,78.94,78.94,78.94,997,997,997
208,2020-12-06,CA,6,1371940,19937,45863,45783,45942,74.61,74.2,75.03,61468,61351,61584,10922,10883,10962,17.79,17.47,18.12,61468,61351,61584,5842,5834,5851,79.7,79.3,80.09,7331,7318,7344
209,2020-12-06,CO,8,262460,3437,6566,6566,6566,64.51,64.51,64.51,10179,10179,10179,1743,1743,1743,17.12,17.12,17.12,10179,10179,10179,1022,1022,1022,68.96,68.96,68.96,1482,1482,1482
210,2020-12-06,CT,9,127715,5146,5779,5779,5779,71.08,71.08,71.08,8130,8130,8130,1361,1361,1361,16.74,16.74,16.74,8130,8130,8130,610,608,611,55.21,55.21,55.21,1104,1104,1104
211,2020-12-06,DE,10,39912,793,1702,1702,1702,67.54,67.54,67.54,2520,2520,2520,379,379,379,15.04,15.04,15.04,2520,2520,2520,147,147,147,81.67,81.67,81.67,180,180,180
212,2020-12-06,DC,11,23136,697,2330,2330,2330,81.38,81.38,81.38,2863,2863,2863,229,229,229,8.0,8.0,8.0,2863,2863,2863,266,266,266,78.24,78.24,78.24,340,340,340
213,2020-12-06,FL,12,1058066,19176,38994,38944,39043,75.85,75.85,75.85,51406,51406,51406,4890,4890,4890,9.68,9.68,9.68,51406,51406,51406,4861,4861,4861,77.89,77.89,77.89,6241,6241,6241
214,2020-12-06,GA,13,483106,9516,14907,14898,14916,78.8,78.63,78.97,18918,18904,18932,2830,2827,2832,14.96,14.88,15.04,18918,18904,18932,2276,2274,2277,86.13,85.95,86.31,2642,2640,2644
215,2020-12-06,HI,15,18581,260,1644,1644,1644,66.97,66.97,66.97,2455,2455,2455,49,49,49,2.0,2.0,2.0,2455,2455,2455,132,132,132,59.73,59.73,59.73,221,221,221
216,2020-12-06,ID,16,110553,1040,1724,1724,1724,55.54,55.54,55.54,3104,3104,3104,437,437,437,14.08,14.08,14.08,3104,3104,3104,203,203,203,71.73,71.73,71.73,283,283,283
217,2020-12-06,IL,17,788922,14127,19512,19440,19584,66.76,65.87,67.65,29227,29111,29343,5355,5327,5383,18.32,17.76,18.88,29227,29111,29343,2461,2452,2470,66.6,65.82,67.39,3695,3683,3707
218,2020-12-06,IN,18,384391,6242,10969,10969,10969,66.54,66.54,66.54,16486,16486,16486,3193,3193,3193,19.37,19.37,19.37,16486,16486,16486,1704,1704,1704,78.02,78.02,78.02,2184,2184,2184
219,2020-12-06,IA,19,244689,2717,4626,4624,4627,58.01,57.87,58.16,7973,7966,7980,901,900,902,11.45,11.33,11.57,7973,7966,7980,485,485,485,71.01,71.01,71.01,683,683,683
220,2020-12-06,KS,20,171635,1786,4481,4478,4485,57.69,57.56,57.81,7768,7765,7772,1154,1153,1154,14.85,14.8,14.9,7768,7765,7772,657,657,657,82.54,82.54,82.54,796,796,796
221,2020-12-06,KY,21,204772,2250,8153,8153,8153,68.69,68.69,68.69,11869,11869,11869,1718,1717,1720,14.48,14.48,14.48,11869,11869,11869,1167,1165,1169,74.86,74.86,74.86,1559,1559,1559
222,2020-12-06,LA,22,251123,6584,8419,8409,8430,67.06,66.84,67.28,12555,12548,12562,1259,1259,1259,10.21,10.21,10.21,12555,12548,12562,1344,1344,1344,74.92,74.92,74.92,1794,1794,1794
